feature,clsname,val_score,malware,test_score
countvectorizer_ngram2-scaled,Local Outlier Factor,0.06666666666666667,mimic,0.0
countvectorizer_ngram2-scaled,Local Outlier Factor,0.06666666666666667,noise,0.0
countvectorizer_ngram2-scaled,Local Outlier Factor,0.06666666666666667,repeat,0.0
countvectorizer_ngram2-scaled,Local Outlier Factor,0.06666666666666667,spoof,0.0
countvectorizer_ngram2-scaled,Local Outlier Factor,0.06666666666666667,total,0.0
countvectorizer_ngram3-scaled,Isolation Forest,0.9222222222222223,delay,0.11
countvectorizer_ngram3-scaled,Isolation Forest,0.9222222222222223,confusion,0.4
countvectorizer_ngram3-scaled,Isolation Forest,0.9222222222222223,freeze,0.12666666666666668
countvectorizer_ngram3-scaled,Isolation Forest,0.9222222222222223,mimic,0.43333333333333335
countvectorizer_ngram3-scaled,Isolation Forest,0.9222222222222223,noise,0.21333333333333335
countvectorizer_ngram3-scaled,Isolation Forest,0.9222222222222223,repeat,0.24333333333333335
countvectorizer_ngram3-scaled,Isolation Forest,0.9222222222222223,spoof,0.22666666666666666
countvectorizer_ngram3-scaled,Isolation Forest,0.9222222222222223,total,0.25047619047619046
countvectorizer_ngram3-scaled,One-Class SVM,0.7555555555555555,delay,0.26666666666666666
countvectorizer_ngram3-scaled,One-Class SVM,0.7555555555555555,confusion,0.67
countvectorizer_ngram3-scaled,One-Class SVM,0.7555555555555555,freeze,0.19666666666666666
countvectorizer_ngram3-scaled,One-Class SVM,0.7555555555555555,mimic,0.7133333333333334
countvectorizer_ngram3-scaled,One-Class SVM,0.7555555555555555,noise,1.0
countvectorizer_ngram3-scaled,One-Class SVM,0.7555555555555555,repeat,0.4666666666666667
countvectorizer_ngram3-scaled,One-Class SVM,0.7555555555555555,spoof,1.0
countvectorizer_ngram3-scaled,One-Class SVM,0.7555555555555555,total,0.6161904761904762
countvectorizer_ngram3-scaled,Robust covariance,0.9222222222222223,delay,0.08666666666666667
countvectorizer_ngram3-scaled,Robust covariance,0.9222222222222223,confusion,0.07
countvectorizer_ngram3-scaled,Robust covariance,0.9222222222222223,freeze,0.06666666666666667
countvectorizer_ngram3-scaled,Robust covariance,0.9222222222222223,mimic,0.08666666666666667
countvectorizer_ngram3-scaled,Robust covariance,0.9222222222222223,noise,1.0
countvectorizer_ngram3-scaled,Robust covariance,0.9222222222222223,repeat,0.1
countvectorizer_ngram3-scaled,Robust covariance,0.9222222222222223,spoof,1.0
countvectorizer_ngram3-scaled,Robust covariance,0.9222222222222223,total,0.3442857142857143
countvectorizer_ngram3-scaled,SGD One-Class SVM,1.0,delay,0.0
countvectorizer_ngram3-scaled,SGD One-Class SVM,1.0,confusion,0.0
countvectorizer_ngram3-scaled,SGD One-Class SVM,1.0,freeze,0.0
countvectorizer_ngram3-scaled,SGD One-Class SVM,1.0,mimic,0.0
countvectorizer_ngram3-scaled,SGD One-Class SVM,1.0,noise,0.0
