0,1,2,3,4
tfidfvectorizer_ngram1-scaled,Local Outlier Factor,0.05555555555555555,total,0.0
tfidfvectorizer_ngram1,Local Outlier Factor,0.05555555555555555,delay,0.0
tfidfvectorizer_ngram1,Local Outlier Factor,0.05555555555555555,confusion,0.0
tfidfvectorizer_ngram1,Local Outlier Factor,0.05555555555555555,freeze,0.0
tfidfvectorizer_ngram1,Local Outlier Factor,0.05555555555555555,mimic,0.0
tfidfvectorizer_ngram1,Local Outlier Factor,0.05555555555555555,noise,0.0
tfidfvectorizer_ngram1,Local Outlier Factor,0.05555555555555555,repeat,0.0
tfidfvectorizer_ngram1,Local Outlier Factor,0.05555555555555555,spoof,0.0
tfidfvectorizer_ngram1,Local Outlier Factor,0.05555555555555555,total,0.0
tfidfvectorizer_ngram2-scaled,Local Outlier Factor,0.044444444444444446,delay,0.0
tfidfvectorizer_ngram2-scaled,Local Outlier Factor,0.044444444444444446,confusion,0.0
tfidfvectorizer_ngram2-scaled,Local Outlier Factor,0.044444444444444446,freeze,0.0
tfidfvectorizer_ngram2-scaled,Local Outlier Factor,0.044444444444444446,mimic,0.0
tfidfvectorizer_ngram2-scaled,Local Outlier Factor,0.044444444444444446,noise,0.0
tfidfvectorizer_ngram2-scaled,Local Outlier Factor,0.044444444444444446,repeat,0.0
tfidfvectorizer_ngram2-scaled,Local Outlier Factor,0.044444444444444446,spoof,0.0
tfidfvectorizer_ngram2-scaled,Local Outlier Factor,0.044444444444444446,total,0.0
tfidfvectorizer_ngram2,Local Outlier Factor,0.044444444444444446,delay,0.0
tfidfvectorizer_ngram2,Local Outlier Factor,0.044444444444444446,confusion,0.0
tfidfvectorizer_ngram2,Local Outlier Factor,0.044444444444444446,freeze,0.0
tfidfvectorizer_ngram2,Local Outlier Factor,0.044444444444444446,mimic,0.0
tfidfvectorizer_ngram2,Local Outlier Factor,0.044444444444444446,noise,0.0
tfidfvectorizer_ngram2,Local Outlier Factor,0.044444444444444446,repeat,0.0
tfidfvectorizer_ngram2,Local Outlier Factor,0.044444444444444446,spoof,0.0
tfidfvectorizer_ngram2,Local Outlier Factor,0.044444444444444446,total,0.0
tfidfvectorizer_ngram3-scaled,Local Outlier Factor,0.03333333333333333,delay,0.0
tfidfvectorizer_ngram3-scaled,Local Outlier Factor,0.03333333333333333,confusion,0.0
tfidfvectorizer_ngram3-scaled,Local Outlier Factor,0.03333333333333333,freeze,0.0
tfidfvectorizer_ngram3-scaled,Local Outlier Factor,0.03333333333333333,mimic,0.0
tfidfvectorizer_ngram3-scaled,Local Outlier Factor,0.03333333333333333,noise,0.0
tfidfvectorizer_ngram3-scaled,Local Outlier Factor,0.03333333333333333,repeat,0.0
tfidfvectorizer_ngram3-scaled,Local Outlier Factor,0.03333333333333333,spoof,0.0
tfidfvectorizer_ngram3-scaled,Local Outlier Factor,0.03333333333333333,total,0.0
tfidfvectorizer_ngram3,Local Outlier Factor,0.044444444444444446,delay,0.0
tfidfvectorizer_ngram3,Local Outlier Factor,0.044444444444444446,confusion,0.0
tfidfvectorizer_ngram3,Local Outlier Factor,0.044444444444444446,freeze,0.0
tfidfvectorizer_ngram3,Local Outlier Factor,0.044444444444444446,mimic,0.0
tfidfvectorizer_ngram3,Local Outlier Factor,0.044444444444444446,noise,0.0
tfidfvectorizer_ngram3,Local Outlier Factor,0.044444444444444446,repeat,0.0
tfidfvectorizer_ngram3,Local Outlier Factor,0.044444444444444446,spoof,0.0
tfidfvectorizer_ngram3,Local Outlier Factor,0.044444444444444446,total,0.0
