feature,clsname,val_score,malware,test_score
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,delay,0.05333333333333334
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,confusion,0.12
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,freeze,0.07666666666666666
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,mimic,0.04666666666666667
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,noise,0.06666666666666667
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,repeat,0.056666666666666664
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,spoof,0.08
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,total,0.07142857142857142
countvectorizer_ngram1,One-Class SVM,0.9666666666666667,delay,0.45666666666666667
countvectorizer_ngram1,One-Class SVM,0.9666666666666667,confusion,0.11
countvectorizer_ngram1,One-Class SVM,0.9666666666666667,freeze,0.5366666666666666
countvectorizer_ngram1,One-Class SVM,0.9666666666666667,mimic,0.05333333333333334
countvectorizer_ngram1,One-Class SVM,0.9666666666666667,noise,0.07
countvectorizer_ngram1,One-Class SVM,0.9666666666666667,repeat,0.07666666666666666
countvectorizer_ngram1,One-Class SVM,0.9666666666666667,spoof,0.37666666666666665
countvectorizer_ngram1,One-Class SVM,0.9666666666666667,total,0.24
countvectorizer_ngram1,Robust covariance,0.9666666666666667,delay,0.04666666666666667
countvectorizer_ngram1,Robust covariance,0.9666666666666667,confusion,0.08666666666666667
countvectorizer_ngram1,Robust covariance,0.9666666666666667,freeze,0.023333333333333334
countvectorizer_ngram1,Robust covariance,0.9666666666666667,mimic,0.06
countvectorizer_ngram1,Robust covariance,0.9666666666666667,noise,0.04666666666666667
countvectorizer_ngram1,Robust covariance,0.9666666666666667,repeat,0.06
countvectorizer_ngram1,Robust covariance,0.9666666666666667,spoof,0.07
countvectorizer_ngram1,Robust covariance,0.9666666666666667,total,0.05619047619047619
countvectorizer_ngram1,SGD One-Class SVM,1.0,delay,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,confusion,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,freeze,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,mimic,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,noise,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,repeat,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,spoof,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,total,0.0
countvectorizer_ngram1,Local Outlier Factor,0.044444444444444446,delay,0.0
countvectorizer_ngram1,Local Outlier Factor,0.044444444444444446,confusion,0.0
countvectorizer_ngram1,Local Outlier Factor,0.044444444444444446,freeze,0.0
countvectorizer_ngram1,Local Outlier Factor,0.044444444444444446,mimic,0.0
countvectorizer_ngram1,Local Outlier Factor,0.044444444444444446,noise,0.0
countvectorizer_ngram1,Local Outlier Factor,0.044444444444444446,repeat,0.0
countvectorizer_ngram1,Local Outlier Factor,0.044444444444444446,spoof,0.0
countvectorizer_ngram1,Local Outlier Factor,0.044444444444444446,total,0.0
countvectorizer_ngram2,Isolation Forest,0.9555555555555556,delay,0.16
countvectorizer_ngram2,Isolation Forest,0.9555555555555556,confusion,0.12666666666666668
countvectorizer_ngram2,Isolation Forest,0.9555555555555556,freeze,0.24666666666666667
countvectorizer_ngram2,Isolation Forest,0.9555555555555556,mimic,0.07666666666666666
countvectorizer_ngram2,Isolation Forest,0.9555555555555556,noise,0.07
