feature,clsname,val_score,malware,test_score
countvectorizer_ngram1,Isolation Forest,0.9,delay,0.03
countvectorizer_ngram1,Isolation Forest,0.9,confusion,0.74
countvectorizer_ngram1,Isolation Forest,0.9,freeze,0.023333333333333334
countvectorizer_ngram1,Isolation Forest,0.9,mimic,0.25
countvectorizer_ngram1,Isolation Forest,0.9,noise,0.32666666666666666
countvectorizer_ngram1,Isolation Forest,0.9,repeat,0.03
countvectorizer_ngram1,Isolation Forest,0.9,spoof,0.10666666666666667
countvectorizer_ngram1,Isolation Forest,0.9,total,0.21523809523809523
countvectorizer_ngram1,One-Class SVM,0.9222222222222223,delay,0.013333333333333334
countvectorizer_ngram1,One-Class SVM,0.9222222222222223,confusion,0.77
countvectorizer_ngram1,One-Class SVM,0.9222222222222223,freeze,0.023333333333333334
countvectorizer_ngram1,One-Class SVM,0.9222222222222223,mimic,0.42
countvectorizer_ngram1,One-Class SVM,0.9222222222222223,noise,0.7466666666666667
countvectorizer_ngram1,One-Class SVM,0.9222222222222223,repeat,0.06
countvectorizer_ngram1,One-Class SVM,0.9222222222222223,spoof,0.5866666666666667
countvectorizer_ngram1,One-Class SVM,0.9222222222222223,total,0.3742857142857143
countvectorizer_ngram1,Robust covariance,0.9111111111111111,delay,0.03333333333333333
countvectorizer_ngram1,Robust covariance,0.9111111111111111,confusion,0.05
countvectorizer_ngram1,Robust covariance,0.9111111111111111,freeze,0.03
countvectorizer_ngram1,Robust covariance,0.9111111111111111,mimic,0.056666666666666664
countvectorizer_ngram1,Robust covariance,0.9111111111111111,noise,0.05333333333333334
countvectorizer_ngram1,Robust covariance,0.9111111111111111,repeat,0.07
countvectorizer_ngram1,Robust covariance,0.9111111111111111,spoof,0.03666666666666667
countvectorizer_ngram1,Robust covariance,0.9111111111111111,total,0.047142857142857146
countvectorizer_ngram1,SGD One-Class SVM,1.0,delay,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,confusion,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,freeze,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,mimic,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,noise,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,repeat,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,spoof,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,total,0.0
countvectorizer_ngram1,Local Outlier Factor,0.06666666666666667,delay,0.0
countvectorizer_ngram1,Local Outlier Factor,0.06666666666666667,confusion,0.0
countvectorizer_ngram1,Local Outlier Factor,0.06666666666666667,freeze,0.0
countvectorizer_ngram1,Local Outlier Factor,0.06666666666666667,mimic,0.0
countvectorizer_ngram1,Local Outlier Factor,0.06666666666666667,noise,0.0
countvectorizer_ngram1,Local Outlier Factor,0.06666666666666667,repeat,0.0
countvectorizer_ngram1,Local Outlier Factor,0.06666666666666667,spoof,0.0
countvectorizer_ngram1,Local Outlier Factor,0.06666666666666667,total,0.0
countvectorizer_ngram2,Isolation Forest,0.9,delay,0.03
countvectorizer_ngram2,Isolation Forest,0.9,confusion,0.7366666666666667
countvectorizer_ngram2,Isolation Forest,0.9,freeze,0.023333333333333334
countvectorizer_ngram2,Isolation Forest,0.9,mimic,0.25666666666666665
countvectorizer_ngram2,Isolation Forest,0.9,noise,0.20333333333333334
countvectorizer_ngram2,Isolation Forest,0.9,repeat,0.04666666666666667
countvectorizer_ngram2,Isolation Forest,0.9,spoof,0.08333333333333333
countvectorizer_ngram2,Isolation Forest,0.9,total,0.19714285714285715
countvectorizer_ngram2,One-Class SVM,0.9222222222222223,delay,0.013333333333333334
countvectorizer_ngram2,One-Class SVM,0.9222222222222223,confusion,0.76
countvectorizer_ngram2,One-Class SVM,0.9222222222222223,freeze,0.023333333333333334
countvectorizer_ngram2,One-Class SVM,0.9222222222222223,mimic,0.3933333333333333
countvectorizer_ngram2,One-Class SVM,0.9222222222222223,noise,0.7533333333333333
countvectorizer_ngram2,One-Class SVM,0.9222222222222223,repeat,0.06
countvectorizer_ngram2,One-Class SVM,0.9222222222222223,spoof,0.59
countvectorizer_ngram2,One-Class SVM,0.9222222222222223,total,0.37047619047619046
countvectorizer_ngram2,Robust covariance,0.8666666666666667,delay,0.06
countvectorizer_ngram2,Robust covariance,0.8666666666666667,confusion,0.7566666666666667
countvectorizer_ngram2,Robust covariance,0.8666666666666667,freeze,0.04
countvectorizer_ngram2,Robust covariance,0.8666666666666667,mimic,0.32
countvectorizer_ngram2,Robust covariance,0.8666666666666667,noise,1.0
countvectorizer_ngram2,Robust covariance,0.8666666666666667,repeat,0.06666666666666667
countvectorizer_ngram2,Robust covariance,0.8666666666666667,spoof,1.0
countvectorizer_ngram2,Robust covariance,0.8666666666666667,total,0.4633333333333333
countvectorizer_ngram2,SGD One-Class SVM,1.0,delay,0.0
countvectorizer_ngram2,SGD One-Class SVM,1.0,confusion,0.0
countvectorizer_ngram2,SGD One-Class SVM,1.0,freeze,0.0
countvectorizer_ngram2,SGD One-Class SVM,1.0,mimic,0.0
countvectorizer_ngram2,SGD One-Class SVM,1.0,noise,0.0
countvectorizer_ngram2,SGD One-Class SVM,1.0,repeat,0.0
countvectorizer_ngram2,SGD One-Class SVM,1.0,spoof,0.0
countvectorizer_ngram2,SGD One-Class SVM,1.0,total,0.0
countvectorizer_ngram2,Local Outlier Factor,0.06666666666666667,delay,0.0
countvectorizer_ngram2,Local Outlier Factor,0.06666666666666667,confusion,0.0
countvectorizer_ngram2,Local Outlier Factor,0.06666666666666667,freeze,0.0
countvectorizer_ngram2,Local Outlier Factor,0.06666666666666667,mimic,0.0
countvectorizer_ngram2,Local Outlier Factor,0.06666666666666667,noise,0.0
countvectorizer_ngram2,Local Outlier Factor,0.06666666666666667,repeat,0.0
countvectorizer_ngram2,Local Outlier Factor,0.06666666666666667,spoof,0.0
countvectorizer_ngram2,Local Outlier Factor,0.06666666666666667,total,0.0
countvectorizer_ngram3,Isolation Forest,0.9111111111111111,delay,0.05
countvectorizer_ngram3,Isolation Forest,0.9111111111111111,confusion,0.8333333333333334
countvectorizer_ngram3,Isolation Forest,0.9111111111111111,freeze,0.06333333333333334
countvectorizer_ngram3,Isolation Forest,0.9111111111111111,mimic,0.4533333333333333
countvectorizer_ngram3,Isolation Forest,0.9111111111111111,noise,0.44666666666666666
countvectorizer_ngram3,Isolation Forest,0.9111111111111111,repeat,0.08
countvectorizer_ngram3,Isolation Forest,0.9111111111111111,spoof,0.24
countvectorizer_ngram3,Isolation Forest,0.9111111111111111,total,0.30952380952380953
countvectorizer_ngram3,One-Class SVM,0.9222222222222223,delay,0.013333333333333334
countvectorizer_ngram3,One-Class SVM,0.9222222222222223,confusion,0.74
countvectorizer_ngram3,One-Class SVM,0.9222222222222223,freeze,0.023333333333333334
countvectorizer_ngram3,One-Class SVM,0.9222222222222223,mimic,0.38333333333333336
countvectorizer_ngram3,One-Class SVM,0.9222222222222223,noise,0.7433333333333333
countvectorizer_ngram3,One-Class SVM,0.9222222222222223,repeat,0.06
countvectorizer_ngram3,One-Class SVM,0.9222222222222223,spoof,0.6033333333333334
countvectorizer_ngram3,One-Class SVM,0.9222222222222223,total,0.36666666666666664
countvectorizer_ngram3,Robust covariance,0.8888888888888888,delay,0.05
countvectorizer_ngram3,Robust covariance,0.8888888888888888,confusion,0.8633333333333333
countvectorizer_ngram3,Robust covariance,0.8888888888888888,freeze,0.03
countvectorizer_ngram3,Robust covariance,0.8888888888888888,mimic,0.38
countvectorizer_ngram3,Robust covariance,0.8888888888888888,noise,1.0
countvectorizer_ngram3,Robust covariance,0.8888888888888888,repeat,0.043333333333333335
countvectorizer_ngram3,Robust covariance,0.8888888888888888,spoof,1.0
countvectorizer_ngram3,Robust covariance,0.8888888888888888,total,0.48095238095238096
countvectorizer_ngram3,SGD One-Class SVM,1.0,delay,0.0
countvectorizer_ngram3,SGD One-Class SVM,1.0,confusion,0.0
countvectorizer_ngram3,SGD One-Class SVM,1.0,freeze,0.0
countvectorizer_ngram3,SGD One-Class SVM,1.0,mimic,0.0
countvectorizer_ngram3,SGD One-Class SVM,1.0,noise,0.0
countvectorizer_ngram3,SGD One-Class SVM,1.0,repeat,0.0
countvectorizer_ngram3,SGD One-Class SVM,1.0,spoof,0.0
countvectorizer_ngram3,SGD One-Class SVM,1.0,total,0.0
countvectorizer_ngram3,Local Outlier Factor,0.06666666666666667,delay,0.0
countvectorizer_ngram3,Local Outlier Factor,0.06666666666666667,confusion,0.0
countvectorizer_ngram3,Local Outlier Factor,0.06666666666666667,freeze,0.0
countvectorizer_ngram3,Local Outlier Factor,0.06666666666666667,mimic,0.0
countvectorizer_ngram3,Local Outlier Factor,0.06666666666666667,noise,0.0
